wcaid,provid
2016sant08,AB
2015dorn02,AB
2018kucz01,AB
2019raga01,AB
2016sing33,AB
2016twym01,AB
2018kand02,AB
2018look01,AB
2021kuma02,AB
2022gorl02,AB
2015yasi02,AB
2022fuen02,AB
2018kima02,AB
2012chow03,AB
2016buch01,AB
2017jank02,BC
2020sunb01,BC
2015rusn01,BC
2018cave01,BC
2018ounk01,BC
2020nguy04,BC
2016zhon01,BC
2021tuli01,BC
2011hutn01,BC
2017kota01,BC
2017stra03,BC
2017moyd01,BC
2017lire01,BC
2014wang48,BC
2020hwan01,BC
2019lija01,BC
2017chuo01,BC
2014boud01,NS
2018jarv02,MB
2010wang68,ON
2016linb01,ON
2017yehm01,ON
2015mans03,ON
2017wans05,ON
2017wury01,ON
2017erez01,ON
2013thom04,ON
2017sare03,ON
2017leem03,ON
2010cant02,ON
2017abar02,ON
2013espa01,ON
2012ongr01,ON
2007lime01,ON
2017jiaa01,ON
2008clar01,ON
2019huan05,ON
2007chan07,ON
2016bele02,ON
2019maur04,ON
2022chie03,ON
2017paon01,ON
2015hugh02,ON
2022ande07,ON
2018sunm09,ON
2014minb01,ON
2022kimy03,ON
2022wuad01,ON
2017bolo01,ON
2019shil03,ON
2022iabo01,ON
2016elle01,ON
2016kyle01,ON
2022hugh01,ON
2020glaj01,ON
2016patt02,ON
2018huap02,ON
2022gelo01,ON
2018ella01,ON
2010corm02,ON
2014wang17,ON
2015pans01,ON
2013thom03,ON
2016anto04,ON
2019zhou01,ON
2022hass14,ON
2009wang15,ON
2022zhou06,ON
2017shah02,ON
2022char04,ON
2014chor01,ON
2015huan51,ON
2016duff04,ON
2021lebo01,QC
2016fehe01,QC
2019trem01,QC
2017bouc04,QC
2017kama01,QC
2018fran20,QC
2022barn23,BC
2022caga01,ON
2022anvi01,AB
2016gree10,BC
2022maom01,ON
2010song02,ON
2019vira01,ON
2023petr13,SK
2017davi01,BC
2023ther03,QC
2019chan01,BC
2019gawt01,ON
2016chen48,ON
2021chas01,BC
2015zhen17,ON
2022davi25,ON
2022fung01,AB
2022maoa01,ON
2016bect01,AB
2015meye02,BC
2016shei03,ON
2014stel02,BC
2018clem05,BC
2018houb01,BC
2020chan10,ON
2015goyd01,BC
2019macd02,ON
2022wong11,BC
2022chen89,ON
2010davi06,ON
2022sore01,ON
2012pich02,AB
2018miao06,ON
2022macl02,AB
2016luuk01,AB
2022kuma09,BC
2019kanb01,BC
2014parm01,ON
2022klei01,BC
2022pele02,AB
2016deib01,AB
2010matt02,BC
2017busc03,AB
2015hess01,AB
2017tang21,ON
2022xion01,ON
2018nieu01,ON
2018baut07,AB
2016kopk01,BC
2023qind01,BC
2015jian04,ON
2017yehi01,ON
2019kobe03,QC
2018kanw02,ON
2023lope21,ON
2015wong02,ON
2019carr19,ON
2017yang62,ON
2018sidh02,BC
2016laui01,ON
2016iyer06,ON
2017zhen52,BC
2015mack02,AB
2023zhou17,ON
2023bouc01,ON
2018imad01,ON
2022virk01,AB
2007gamb01,ON
2013yesh01,ON
2022chow14,BC
2019phan01,ON
2023rodr31,BC
2023diel02,MB
2018chub06,ON
2019kemp04,MB
2017liue01,BC
2017lach03,ON
2013hoar01,NS
2023lich01,ON
2022colq02,ON
2020hade02,ON
2019rodr11,ON
2022wina02,ON
2023leke01,BC
2023sunx01,BC
2016gerb03,BC
2016calv03,BC
2018ches11,MB
2019cobi01,ON
2017yang64,BC
2016joha01,AB
2018engs02,ON
2022wang25,BC
2008jaff01,ON
2023lefe01,QC
2019riva02,QC
2017zhuy07,BC
2019mirm01,BC
2023jima01,BC
2018chen05,BC
2017osud01,ON
2021pham03,SK
2017CHAN47,BC
2022HOEL03,BC
2016RIDD01,AB
2022XIAN06,BC
2023ROBI09,BC
2018GAOA01,BC
2022HUAN47,BC
2023ABRE02,BC
2022WONG11,BC
2022POST09,BC
2021HOUG02,BC
2023SHAF01,BC
2023WRIG08,BC
2023PITT04,BC
2022KIRK02,BC
2021MAHR01,BC
2023GRAY06,BC
2022CHOW04,BC
2023BEDD01,BC
2022HORB01,BC
2023FONG01,BC
2023MOHA25,BC
2023WONG36,BC
2019TAMK01,BC
2022ZHAN58,BC
2023HOMA02,BC
2022CHOW06,BC
2023ZHAN47,BC
2022TSOI01,BC
2023PERR01,BC
2021PERS02,BC
2021NIGA01,BC
2023TYAN01,BC
2023CYRA01,BC
2022TURC03,BC
2019LISA01,BC
2021SCHE01,BC
2023WACK01,BC
2021JOBI01,BC
2023VOBA01,BC
2023SAIF02,BC
2023YANG28,BC
2023TYAN02,BC
2023GORA02,BC
2021RENE01,BC
2023WOOD15,BC
2023GROS07,BC
2023KAUS01,BC
2023SRAN01,BC
2018NEUF01,BC
2018NEUF01,BC
2023XIEZ02,BC
2023TAIA01,BC
2023SANT28,BC
2023WOOD24,BC
2023DELL02,BC
2022MING02,BC
2023YUDA01,BC
2017LEET01,BC
2016HSIE03,BC
